653,3922,1422,635,2863
653,157,3021,430,1556
1785,2252,1572,2689,3626
1712,303,1545,1011,1857
1545,1857,303,1247,1562
1545,303,1005,1857,1562
303,1857,1562,1005,600
480,3596,348,801,4
1398,1857,2746,617,2305
635,801,480,2221,2971
1545,1171,2490,218,902
3517,2823,1247,2837,1545
1133,2971,868,1694,1513
2971,1371,1147,2231,2380
484,1171,1230,618,1231
3596,348,3050,3823,801
1545,1857,536,2837,1005
3596,480,2221,348,318
480,3596,801,4,3685
1369,536,218,2823,1892
1545,1857,1398,2746,303
3596,1513,2240,1133,3205
1545,3517,536,1857,1247
480,348,3050,3596,3499
303,3596,1545,1857,3221
1857,1005,2746,1288,303
3596,480,3823,348,801
484,902,1230,573,806
2971,1133,635,2231,2746
1657,1694,1288,484,902
2350,2295,1011,1298,3872
3596,1712,1288,1545,2262
3596,3205,3823,1415,1328
2689,3205,3626,1328,1572
3348,1794,182,1513,3866
2971,1147,1133,2863,2231
3140,1147,1398,3560,2231
1288,2746,617,1513,1545
573,218,806,3560,902
3823,580,3348,182,521
2971,635,2746,1133,1147
3596,480,3050,348,3190
1712,3205,1415,1328,2350
218,573,806,2594,1369
348,480,3596,1545,3823
3547,2473,3240,2899,3221
480,1562,303,3596,348
3205,1328,1415,2689,1785
192,629,1694,1657,1415
3823,3560,2594,218,3870
1336,3517,2252,303,1247
1562,1712,1545,1857,1005
3205,1785,2689,3626,1415
484,1545,1288,2689,1712
1171,218,573,2594,806
1490,897,318,480,1984
1545,303,1562,1011,3205
480,3596,1545,1857,348
3596,480,2221,348,3050
480,2221,635,3823,801
1857,1247,2837,1005,2823
1171,484,965,1230,1549
2477,1582,1427,2524,2447
1562,1712,600,1545,1857
3596,480,1328,348,3205
3823,3596,2221,2899,3050
1328,1785,3205,2252,2689
157,653,1369,897,1556
1712,2689,1328,1785,3205
3596,801,480,4,1490
2350,188,2295,3038,441
303,1562,1545,1857,1005
188,1298,3038,441,3006
1328,3626,3205,2689,3596
2126,303,2473,2326,1562
3596,480,801,4,348
3596,2221,3560,902,480
348,1298,3499,373,441
1545,1857,1005,2746,2837
3006,801,3685,617,521
1857,1288,1011,303,1005
3547,2837,1545,3221,1857
2524,2477,1369,2447,3353
3221,303,55,1298,1686
1657,2490,3097,1231,1171
1415,1328,1712,2689,1785
3823,3596,218,348,2221
2380,1231,1343,2971,880
1328,3205,1415,2689,484
3596,1398,617,2971,2746
2524,2477,2447,1427,1422
1336,2473,2817,1677,2326
2350,303,2295,1298,1712
3353,2477,3015,2262,2524
3140,2600,3560,1147,2916
3823,3596,635,1398,1513
1724,43,3348,580,754
3596,480,2221,348,801
2823,573,697,1369,484
1857,1005,1712,1562,2837
480,3823,2221,348,3050
1785,2252,3626,2689,1572
3596,480,3050,801,4
2350,1011,484,1288,2295
1545,1857,303,1288,3221
1712,1562,3852,2350,2689
1712,2350,3205,1011,2295
1857,1005,1288,1712,2305
3596,3823,2899,1836,303
3596,3517,2221,2305,2746
3596,2221,2061,3353,2477
1857,1005,1288,2746,303
303,1545,1857,3221,2823
1288,1545,1857,1712,1005
1398,3596,1857,1288,1545
1857,1545,1288,2837,1562
1857,303,1005,1562,2837
2350,2295,1712,1288,1011
3596,480,635,1836,3823
3205,1415,1712,2689,480
3596,480,1490,897,1097
1857,1288,1398,3140,2746
480,1490,3596,801,635
653,157,2915,536,481
1545,1562,303,536,2126
3722,2484,1850,1794,100
3596,480,348,801,4
218,573,806,2594,3560
573,218,806,2594,3402
2221,1336,1685,1836,408
3205,2240,1415,1694,2746
2594,902,3560,806,218
1005,2837,3240,1545,2473
1545,1005,1288,1562,1712
484,2350,1572,1230,1171
3205,1712,480,2689,1785
3596,480,1328,1785,3852
1545,1288,1857,1005,1398
480,3596,348,3050,3499
3596,801,4,2746,2221
2221,3596,1836,3823,1685
3596,480,4,348,635
3596,480,1328,348,3205
1171,484,290,1230,573
3547,2473,302,3221,303
3596,1078,801,2221,1490
2350,3221,2295,1298,188
1545,3596,1712,1857,1005
3596,2221,801,1078,4
480,348,801,2221,4
1171,484,618,3890,3560
653,157,3021,430,3355
3596,480,348,4,2221
226,634,3006,1177,1785
3205,1712,1328,1545,1288
480,2221,801,3823,3050
3596,3205,1328,1712,3823
1371,1015,663,1513,2746
480,1545,1857,635,2221
2221,3596,303,1078,408
1716,484,847,1230,1288
3596,2262,2061,3823,3353
1794,3823,617,3348,521
1545,3517,1005,2837,536
3596,480,3205,2221,348
1336,3517,303,2823,1247
1328,3205,1415,653,1572
484,1415,1288,3205,1328
3626,1328,3205,1572,1712
1857,1545,303,2305,2837
1545,1857,1005,303,1712
3006,2262,1190,1748,2971
3596,480,2221,801,4
3722,3102,2271,1850,100
3596,3205,1328,2221,1415
484,2689,1785,1328,3205
1415,1328,1712,484,2689
348,480,2221,1562,303
2305,1545,2746,1857,3596
3596,2221,1836,3823,408
3596,3823,617,1836,1398
480,3823,2221,1328,1415
2594,1171,902,3560,806
1328,3205,1011,3596,2689
1328,1712,1415,2689,1785
2308,653,484,1694,1369
3596,2221,1078,1836,635
1005,1288,303,1712,1562
3596,480,801,2221,4
1513,1371,1231,1171,3560
3547,3240,3517,2837,3221
3596,801,480,348,635
573,484,2252,1230,322
1545,1857,1712,1005,1011
3596,303,1545,1562,3221
3596,480,3823,3050,801
3823,3050,3596,480,2899
1901,3722,3205,100,1850
3823,3685,2262,1794,1513
1712,1328,1011,1415,2350
2350,1712,1288,484,847
2350,2295,441,3872,1100
484,3140,1110,635,1553
480,348,3596,1712,1011
2837,1247,774,847,2614
1230,1328,1572,525,1785
697,902,218,573,806
801,635,2061,1078,348
3596,480,348,2221,4
1328,1415,2689,1712,3626
1545,1247,1369,3517,653
1230,573,1545,902,697
3596,2221,801,1836,1078
3560,663,1513,3097,1371
3823,2262,1545,2104,1857
1513,1444,1371,2746,3033
2899,3221,3547,1545,2473
