536,525,1545,635,1857
536,635,1545,3596,1562
2689,3596,1328,1785,3205
303,1011,1712,2350,600
1857,1545,303,536,1562
480,3596,1545,303,1005
1857,303,1562,1011,1288
348,3596,480,3499,2444
3596,1545,617,3823,3205
1716,1011,1328,1005,1398
1857,1545,3596,1288,2746
1545,1857,2837,3517,1562
1857,3596,1288,1694,2689
2746,2971,1147,2231,1398
484,2308,3596,1230,1288
3596,2221,635,1490,3823
1545,1857,1562,2837,303
3596,480,2221,1005,1545
3596,484,480,1288,1712
1545,1857,1005,2958,3596
1857,1545,3596,484,1288
3596,1011,600,1328,1398
1857,1545,1562,303,3517
480,3596,3823,1712,348
3596,3205,1328,2689,480
1857,1288,3596,1005,1712
3596,348,480,303,1545
1545,484,902,1288,1415
2746,1398,635,1857,2231
1545,1857,1288,484,1005
1011,600,1562,2350,303
3596,1562,600,1545,3221
3596,3823,480,1328,348
3596,3205,2689,1328,3626
3685,3596,3823,1415,1712
3596,2746,1857,1005,1545
1545,1857,1398,2746,3596
3596,2746,3823,1857,1545
902,573,484,218,2308
3596,617,3348,3823,1005
3596,1562,600,1011,3221
3596,480,3190,2221,2262
3596,1712,1415,1328,3205
3596,3852,573,218,484
3596,431,480,3823,635
1545,1005,1857,2746,3221
3596,480,1328,2221,3852
3596,3205,1415,1328,1011
3596,1328,1545,1415,2689
3596,1545,1857,1398,1005
3596,1562,303,1857,1328
1562,1712,3221,2350,1005
3596,3205,303,2689,1785
1545,1328,3596,484,2689
1545,3596,1288,1857,1005
3596,480,303,2221,1562
1545,484,1011,303,2837
3596,348,1857,1011,1712
480,3596,635,2221,4
1562,600,1011,2231,3221
1857,303,1005,2823,2837
1545,1288,1857,484,1712
1545,1398,1857,1288,1005
1562,1712,2350,1545,1005
3596,480,2221,1490,3823
3596,3823,2221,480,617
1328,536,3596,525,1545
536,3596,1369,525,1562
303,1562,1328,1288,2689
3596,2221,480,1490,801
303,3596,3221,600,1712
1562,600,3596,868,1701
303,1712,1562,600,1011
3596,3205,2221,1328,480
303,1545,1562,1857,1005
480,3596,801,4,635
3596,2221,3205,1328,617
303,600,1011,1562,1712
1545,1857,1005,1562,2837
